Type,Start Date,End Date,Geometry
ROAD_CLOSURE,2020-08-03T17:57:45,2020-08-03T22:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T21:00:44,2020-08-03T23:00:00,"LINESTRING (101.60228 3.1992, 101.60283 3.19917, 101.60318 3.19911, 101.60353 3.19904, 101.6039 3.19896, 101.60423 3.19889, 101.60463 3.19881, 101.60499 3.19875, 101.60521 3.19872, 101.60537 3.19868, 101.60544 3.19863)"
ROAD_CLOSURE,2020-08-03T20:57:44,2020-08-04T01:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T20:57:45,2020-08-04T01:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T20:57:44,2020-08-04T01:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T20:57:44,2020-08-04T01:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T19:57:44,2020-08-04T00:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T19:57:44,2020-08-04T00:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T19:57:44,2020-08-04T00:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T19:57:44,2020-08-04T00:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T21:56:58,2020-08-04T02:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T21:56:58,2020-08-04T02:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T21:56:58,2020-08-04T02:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T21:56:58,2020-08-04T02:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
