0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2091,0.73473,Jalan Perdana,+,0.7,TR,31.0,31.0,34.0,0.0,2020-08-03T00:59:47Z,Jalan Lembah/Jalan Perdana,04192712-b65d-40af-83ea-bd290fb1b0e2,F05-02089,F05-02089_2020-08-03T00:59:47Z,
2090,0.28752,Jalan Tugu/Jalan Kinabalu,+,0.7,TR,21.0,21.0,26.2,1.11959,2020-08-03T00:59:47Z,Jalan Lembah/Jalan Perdana,04192712-b65d-40af-83ea-bd290fb1b0e2,F05-02089,F05-02089_2020-08-03T00:59:47Z,
2084,0.02615,Jalan Segambut,-,0.71,TR,30.54,30.54,35.0,0.55802,2020-08-03T00:59:47Z,Jalan Lang Mas/Jalan Lang Emas,1e948e5d-f6bd-435a-9d0d-f5fd129b34ef,F05+02083,F05+02083_2020-08-03T00:59:47Z,
2085,0.34732,Jalan 6/38A,-,0.71,TR,35.89,35.89,43.6,1.43944,2020-08-03T00:59:47Z,Jalan Lang Mas/Jalan Lang Emas,1e948e5d-f6bd-435a-9d0d-f5fd129b34ef,F05+02083,F05+02083_2020-08-03T00:59:47Z,
2086,1.47098,Jalan Helang Belalang,-,0.71,TR,57.57,57.57,57.9,0.07522,2020-08-03T00:59:47Z,Jalan Lang Mas/Jalan Lang Emas,1e948e5d-f6bd-435a-9d0d-f5fd129b34ef,F05+02083,F05+02083_2020-08-03T00:59:47Z,
2087,0.48467,Jalan 3/62B,-,0.7,TR,60.0,60.0,60.0,0.0,2020-08-03T00:59:47Z,Jalan Lang Mas/Jalan Lang Emas,1e948e5d-f6bd-435a-9d0d-f5fd129b34ef,F05+02083,F05+02083_2020-08-03T00:59:47Z,
2088,0.45551,Jalan Burung Hantu,-,0.72,TR,48.94,48.94,59.9,2.43854,2020-08-03T00:59:47Z,Jalan Lang Mas/Jalan Lang Emas,1e948e5d-f6bd-435a-9d0d-f5fd129b34ef,F05+02083,F05+02083_2020-08-03T00:59:47Z,
2095,0.05114,Jalan Datuk Sulaiman,+,0.7,TR,35.0,35.0,38.0,0.0,2020-08-03T00:59:47Z,Jalan Leong Yew Koh,a0c0fa95-1540-4ed6-a174-37dc9172b728,F05-02093,F05-02093_2020-08-03T00:59:47Z,
2094,0.95425,E11/Lebuhraya Damansara-Puchong,+,0.72,TR,35.4,35.4,34.8,0.0,2020-08-03T00:59:47Z,Jalan Leong Yew Koh,a0c0fa95-1540-4ed6-a174-37dc9172b728,F05-02093,F05-02093_2020-08-03T00:59:47Z,
2094,0.08599,E11/Lebuhraya Damansara-Puchong,-,0.75,TR,33.22,33.22,27.4,0.0,2020-08-03T00:59:47Z,Jalan Leong Yew Koh,8b7f1939-67fe-42fb-a51a-dff2f10bfd02,F05+02093,F05+02093_2020-08-03T00:59:47Z,
2095,0.93194,Jalan Datuk Sulaiman,-,0.71,TR,28.21,28.21,26.0,0.0,2020-08-03T00:59:47Z,Jalan Leong Yew Koh,8b7f1939-67fe-42fb-a51a-dff2f10bfd02,F05+02093,F05+02093_2020-08-03T00:59:47Z,
2090,0.10944,Jalan Tugu/Jalan Kinabalu,-,0.7,TR,26.0,26.0,29.8,0.35794,2020-08-03T00:59:47Z,Jalan Lembah/Jalan Perdana,bf87a2a1-7c55-427d-9a7e-2d3bfae433c4,F05+02089,F05+02089_2020-08-03T00:59:47Z,
2091,0.22189,Jalan Perdana,-,0.7,TR,23.0,23.0,27.2,0.58823,2020-08-03T00:59:47Z,Jalan Lembah/Jalan Perdana,bf87a2a1-7c55-427d-9a7e-2d3bfae433c4,F05+02089,F05+02089_2020-08-03T00:59:47Z,
2092,0.75955,Jalan Tembusu/Jalan Cenderasari,-,0.7,TR,30.0,30.0,28.3,0.0,2020-08-03T00:59:47Z,Jalan Lembah/Jalan Perdana,bf87a2a1-7c55-427d-9a7e-2d3bfae433c4,F05+02089,F05+02089_2020-08-03T00:59:47Z,
2077,0.08209,Jalan Sultan Ismail,-,0.72,TR,58.04,58.04,66.0,1.60827,2020-08-03T00:59:47Z,Jalan Kuching,9ea2c539-a36e-4797-89d5-1b749a37f2fa,F05+02076,F05+02076_2020-08-03T00:59:47Z,
2078,1.22474,Lebuhraya Mahameru/Jalan Tun Ismail,-,0.73,TR,68.09,68.09,74.9,1.21198,2020-08-03T00:59:47Z,Jalan Kuching,9ea2c539-a36e-4797-89d5-1b749a37f2fa,F05+02076,F05+02076_2020-08-03T00:59:47Z,
2079,1.45674,Jalan Duta,-,0.88,TR,63.6,63.6,77.7,2.41994,2020-08-03T00:59:47Z,Jalan Kuching,9ea2c539-a36e-4797-89d5-1b749a37f2fa,F05+02076,F05+02076_2020-08-03T00:59:47Z,
2080,0.67434,Persiaran Dutamas 2,-,0.84,TR,63.81,63.81,77.7,2.38347,2020-08-03T00:59:47Z,Jalan Kuching,9ea2c539-a36e-4797-89d5-1b749a37f2fa,F05+02076,F05+02076_2020-08-03T00:59:47Z,
2081,1.42296,Lebuhraya Duta-Ulu Kelang,-,0.81,TR,74.13,74.13,79.4,0.8848,2020-08-03T00:59:47Z,Jalan Kuching,9ea2c539-a36e-4797-89d5-1b749a37f2fa,F05+02076,F05+02076_2020-08-03T00:59:47Z,
2082,1.20777,Jalan Ipoh/Jalan Kepong,-,0.79,TR,66.71,66.71,78.1,1.9441,2020-08-03T00:59:47Z,Jalan Kuching,9ea2c539-a36e-4797-89d5-1b749a37f2fa,F05+02076,F05+02076_2020-08-03T00:59:47Z,
2099,0.39804,Jalan Hang Tuah/Jalan Dewan Bahasa/Jalan Lapangan Terbang,+,0.75,TR,31.98,31.98,72.7,8.08053,2020-08-03T00:59:47Z,Jalan Loke Yew,43bd7fd4-3bb7-43c1-91bb-ccba95a2d707,F05-02096,F05-02096_2020-08-03T00:59:47Z,
2098,1.25038,Jalan Sungai Besi,+,0.72,TR,56.69,56.69,68.9,2.36353,2020-08-03T00:59:47Z,Jalan Loke Yew,43bd7fd4-3bb7-43c1-91bb-ccba95a2d707,F05-02096,F05-02096_2020-08-03T00:59:47Z,
13982,0.99778,E9/Lebuhraya Sungai Besi/Sungai Besi Expressway/Lebuhraya Besraya,+,0.71,TR,68.96,68.96,70.0,0.1973,2020-08-03T00:59:47Z,Jalan Loke Yew,43bd7fd4-3bb7-43c1-91bb-ccba95a2d707,F05-02096,F05-02096_2020-08-03T00:59:47Z,
2097,1.43051,Jalan Yaacob Latif/Jalan Cheras,+,0.7,TR,67.0,67.0,68.0,0.19607,2020-08-03T00:59:47Z,Jalan Loke Yew,43bd7fd4-3bb7-43c1-91bb-ccba95a2d707,F05-02096,F05-02096_2020-08-03T00:59:47Z,
